figure,title,script,source_data_or_modules,caption,status,data_type
fig1_model_overview,Model overview and biological scope,figures/make_fig_step1.py,core/reduced_model.py; core/protocols.py,"Biological and modeling scope. The workflow observes O2(t)/OCR only and models CIV-mediated oxygen consumption in intact respiratory-chain context; it does not measure membrane potential, redox state, pH, proton gradient, or isolated Complex IV activity.",diagnostic/demo,demo/synthetic unless rerun on real Oroboros data
fig2_reduced_model,3-state model formulation,figures/make_fig_step2.py,core/reduced_model.py; manuscript/model.tex,"3-state model formulation. The model states are r, o, and kappa; smooth intervention functions encode oligomycin, FCCP additions, and rotenone/antimycin inhibition. kappa is a latent OCR-permissiveness factor, not measured membrane potential.",diagnostic/demo,demo/synthetic unless rerun on real Oroboros data
fig3_data_pipeline,Data pipeline and event parsing,figures/make_fig_step3.py,data_io/loader.py; data_io/preprocess.py; data_samples/*.xlsx,"Data pipeline for demo and real Oroboros-style data. Excel/CSV inputs are parsed, chamber columns and event labels are detected, injection windows are protected during preprocessing, and calibration-ready exports are generated with warnings.",diagnostic/demo,demo/synthetic unless rerun on real Oroboros data
fig4_calibration,Calibration fits and residuals,figures/make_fig_step4.py,results/calibration/*.json; results/calibration/calibration_summary.csv; results/calibration/phase_summary_dataset_*.json,Calibration fits and residuals for demonstration traces. Fit overlays and residual panels demonstrate software execution only; biological interpretation requires real measured data.,diagnostic/demo,demo/synthetic unless rerun on real Oroboros data
fig5_identifiability,Identifiability diagnostics,figures/make_fig_step5.py,results/identifiability/fim_dataset_I.json; results/identifiability/profiles_dataset_I.json; results/identifiability/parameter_interpretability_flags.csv,Identifiability diagnostics. FIM eigenvalues are local diagnostics; fast-mode scans are not publication-grade profile likelihoods. OCR-only data do not support interpretation of all parameters.,diagnostic/demo,demo/synthetic unless rerun on real Oroboros data
fig6_sensitivity,Sensitivity diagnostics,figures/make_fig_step6.py,results/sensitivity/morris_dataset_I.json; results/sensitivity/sobol_auc_dataset_I.json; results/sensitivity/time_resolved_sobol_dataset_I.npz,"Sensitivity diagnostics. Morris and Sobol outputs identify influential parameters and phases, but sensitivity does not prove identifiability. Sobol total-order indices include interactions and are not additive.",diagnostic/demo,demo/synthetic unless rerun on real Oroboros data
fig7_validation,Validation diagnostics,figures/make_fig_step7.py,results/validation/*.json; results/validation/*.csv,"Validation diagnostics. Chamber transfer, within-trace holdout, LODO status, and parametric-bootstrap predictive checks are workflow diagnostics, not proof of biological generalization.",diagnostic/demo,demo/synthetic unless rerun on real Oroboros data
fig8_agent_architecture,MitoAgent architecture,figures/make_fig_step8.py,agent/*.py; app/streamlit_app.py,MitoAgent architecture. The deterministic backend generates numerical outputs; the optional natural-language layer routes questions and explains structured outputs with caveats.,diagnostic/demo,demo/synthetic unless rerun on real Oroboros data
fig9_streamlit_ui_overview,Streamlit interface overview,figures/make_fig_step9.py,app/streamlit_app.py; app/components/*.py,Streamlit interface overview schematic. User-facing tabs expose deterministic backend outputs; UI does not create independent numerical results.,diagnostic/schematic,interface schematic
fig10_ask_mitoagent,Ask MitoAgent interpretation pathway,figures/make_fig_step10.py,agent/ask_agent.py; agent/question_router.py; agent/safety_rules.py; agent/interpretation.py,Ask MitoAgent interpretation pathway. Natural-language answers are generated only from structured deterministic backend outputs; the optional LLM does not produce scientific results.,diagnostic/schematic,agent schematic
